course_id,course_name,description,trainer_id,start_date,end_date,employees_assigned,createdAt,updatedAt
380dff7a-074f-4376-8155-09fc261f75ba,Hot Training,Decade along wear herself. Try family baby my answer federal assume. Group west laugh.,ca5b85f0-7926-43d8-949f-e9fc569bb2d1,2024-06-17,2024-10-21,"['3e768671-d032-4e60-a800-665891c585dc', '0b3f30c6-d97f-4961-8a74-cd19d9be0ff9', '838335fd-9d8e-4355-ab83-1d8f2d4645d8']",2024-10-14 10:22:06.082642,2024-10-14 10:22:06.082642
ab33b262-eea5-499b-8f0a-59f49e51d56a,Section Training,So question western might explain worry. War approach forward leave. Guy skill during court may direction word. Seven agent whatever owner believe leave.,29f75d91-d8c6-433b-aa07-1d9c9c71cb5e,2024-03-31,2024-12-13,"['aa4cf91a-6d5f-46b9-8cf9-41a8ece1c8a0', 'da8a38b6-40be-4250-9616-b45678153559']",2024-10-14 10:22:06.082642,2024-10-14 10:22:06.082642
fed5791a-6115-4e06-a228-01e097d67e47,Project Training,"Return home shake organization continue recent bill. Difficult north fall.
Deal thousand goal political should whether. Result difficult public catch. Claim arm course room prove.",4e38d691-e5b1-4ca7-a145-1f586f3aeb6a,2024-04-09,2024-12-02,['63fdcb19-3d93-4a6e-8f08-17acf4eda616'],2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
341d3510-46a2-4cf9-93c0-7d2da48cc361,Camera Training,Organization shake organization know. Young resource poor Mr be sometimes health.,54326dd7-40e1-4278-8a23-4112155332da,2024-04-02,2024-10-31,['a89903fa-7bb9-478c-bb22-020d953d526d'],2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
beb18b18-9b82-4caa-a6fd-b28133532d8c,Require Training,"Lot billion sea until sign begin evening. Worker Democrat rate story use understand.
Future ahead career have seek. Government stand follow affect stuff though among.",1fcdd429-5e2d-4e3d-9747-4640c34baec8,2024-06-11,2024-11-21,"['96132192-d8bf-4701-86d8-fc3244d5bda8', '7d6f8d29-3321-4490-93b2-af8964f50fab', 'fe541cc6-4b17-4b9a-bc7e-47029f056922', '9dd1f5d1-d272-4c1a-8565-d7a187e2e539', 'bb5649e0-477e-48e4-a339-c1ed2a610e53']",2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
24a2ed55-fe3a-4c0e-8ff2-ec8a6e207753,Development Training,"Ever marriage center. Employee identify operation generation. Civil will improve different role yourself past.
Sort draw heart street above answer occur.",ae570ccf-a737-42a3-8c36-6a8910fdc1ec,2024-09-17,2024-10-15,"['7989201c-9643-40d4-9eaa-ed03507d23d2', 'e4041cb5-e9a7-472e-a121-7f98031700cd', 'f68198ea-1b05-4791-a585-910a63bd7cd9', '1f3e5859-353b-4acc-80ae-0f2977484ae1', '242e4dd0-0d17-4c92-a471-fc5d8c3278d5']",2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
9592fe94-d2b2-45e7-9ffe-353b7ede11ca,Experience Training,"End point four certain. Gun few for clear network boy attorney.
Worry imagine TV sell if every during. Indeed these avoid kitchen side become purpose. Sport check capital establish.",27ed4696-e1b5-4e34-9ea8-272a1fa5d6cb,2024-01-10,2024-10-19,"['84225b68-9009-412a-94f4-481daa8c0146', '7b845edc-b1ca-4978-987d-c106358b4196', '4c725474-1396-4bfe-9f49-8a5d429a45e3', '32c5603b-a82e-4c6f-b37d-e71a956afeb3', '6f058f9e-c9aa-4d00-ad12-611d26c8b100']",2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
975fcca0-a8af-41fd-92d7-17690b519f2b,Message Training,"Health call prove and father ten produce.
Trial of appear rate box. Alone coach black along point. Stage determine group hold ball. Fire too policy person writer material ground.",7366e71c-a28e-4be2-aa24-67949c754cf5,2024-09-04,2024-10-18,"['babdf1de-b21d-46a4-84af-1339c3ea8892', '5cb2373e-39ac-4ea4-9ba4-a24d23235549', 'fc621dbd-9c90-4d86-9d7b-85241961813f', 'cdbf9711-d85e-4784-a70f-a5407819ee98']",2024-10-14 10:22:06.083642,2024-10-14 10:22:06.083642
6c5f0fca-1972-4f29-b7b7-f891da28a805,Organization Training,Tonight manager effect including worker. Here in senior school.,6be9fd68-551d-4646-94de-98d663d449dc,2024-05-04,2024-10-28,"['4960d542-1b65-42df-916e-9198d0a21325', 'b4ff2928-5e44-4a13-a32e-b2350ff3f3f4', '2dda1367-f896-4b3e-99df-8f0a206b0b22', 'f8380d47-8ea7-4ce3-a666-62cba5052614', '52a36379-e308-4ecb-8be4-080de22077e6']",2024-10-14 10:22:06.085146,2024-10-14 10:22:06.085146
da990f15-2452-4434-8a37-ff122c011f63,Red Training,Week ever smile while thing entire financial those. Deal Republican daughter part outside pass case. Indicate get role arrive result whether chair like.,6b7044c0-6db0-4516-a057-d81c9ca4dbb1,2024-01-24,2024-11-19,"['8fd7ab88-20b9-4f63-8980-43def1a04bcc', 'a65ab4d3-8277-49dc-bb84-b89717f852ca', 'f9864828-911f-4317-b2e7-10a94eb26ef3', 'b2079533-4444-49c1-a960-71bd38e71f7e', '9b900577-4fa2-4780-b2a7-3d40609e622a']",2024-10-14 10:22:06.085146,2024-10-14 10:22:06.085146
92be68f4-91fb-487b-a9af-86502dd9a278,One Training,"Help money develop home. Long or truth only.
Large resource policy learn western. List fund close result.
Yourself special site office lay news meet new. Without know accept reality into.",19999e3b-fc23-480b-b401-299dcaf357ca,2024-04-29,2024-10-26,"['b05f9e05-864d-49d9-93a1-5ab1a5340ea0', '54e210dd-79d9-46dd-85fc-d7c1324459dd']",2024-10-14 10:22:06.085146,2024-10-14 10:22:06.085146
